pd_id	result_ut	valid	rejected	polled	electors	UNP	PA	JVP	Ind 2	Liberal	Ind 1	SMBP	LDA	PLSF	SLMP	Ind 3	DUNF	PFF
EC-17D	915162600	52420	991	53411	73549	23492	25850	2015	177	166	157	150	33	129	166	44	21	20
EC-04M	915162540	51622	1513	53135	69098	20885	28277	1353	195	149	165	184	88	86	110	77	22	31
EC-22E	915162480	51040	943	51983	69783	23730	24279	1938	150	138	115	232	72	52	245	47	19	23
EC-19A	915162420	50418	1308	51726	65925	27638	19750	1757	260	400	199	133	46	62	54	69	24	26
EC-03D	915162360	50597	991	51588	66212	22879	25424	1397	156	128	131	184	45	69	69	63	24	28
EC-07G	915162300	50698	749	51447	68503	19134	28404	2497	104	88	91	144	79	74	32	26	10	15
EC-06C	915162240	49863	1461	51324	58213	18426	29000	1572	158	143	140	131	51	71	68	54	21	28
EC-01I	915162180	49636	1675	51311	70424	21455	24782	2075	37	87	83	763	231	41	47	10	10	15
EC-08D	915162120	50054	887	50941	70157	17689	28515	2997	126	147	106	201	68	50	68	41	22	24
EC-07J	915162060	49704	1086	50790	67833	18064	28137	2727	135	97	94	161	92	67	55	40	15	20
EC-06D	915162000	49421	1366	50787	64127	23685	23312	1299	198	186	168	142	158	80	67	63	30	33
EC-16A	915161940	49432	1202	50634	80531	26894	20842	701	203	155	144	71	106	66	182	38	12	18
EC-08E	915161880	49495	963	50458	68296	18844	25363	4539	99	107	100	155	84	62	56	47	24	15
EC-17C	915161820	49134	1015	50149	69006	20153	25187	2996	127	103	105	174	77	63	98	25	19	7
EC-04F	915161760	48654	1415	50069	65317	22974	23259	1569	131	113	74	267	60	45	78	43	16	25
EC-09B	915161700	49130	919	50049	68349	18140	24492	5691	118	116	101	136	81	80	69	40	37	29
EC-15L	915161640	48914	1101	50015	66346	22450	23715	1700	100	106	113	355	112	50	147	27	17	22
EC-21C	915161580	48530	941	49471	58977	21293	24995	1195	159	191	170	172	112	76	76	44	20	27
EC-15M	915161520	48353	995	49348	67307	21972	23463	1838	158	106	115	217	71	54	250	51	35	23
EC-12A	915161460	47127	1043	48170	76988	22614	21939	70	623	665	381	95	183	130	288	86	27	26
EC-04J	915161400	46592	1464	48056	62747	21219	23135	1293	125	102	61	301	103	49	105	54	24	21
EC-16D	915161340	47092	846	47938	68620	19079	26152	1285	66	69	63	111	68	48	96	24	15	16
EC-19H	915161280	46140	1526	47666	62074	20768	23002	1339	164	150	151	178	87	74	98	74	26	29
EC-04K	915161220	46372	1204	47576	62497	21920	22192	1199	139	124	83	251	68	58	240	45	22	31
EC-18A	915161160	46376	859	47235	61803	18627	24141	2849	149	140	107	119	51	66	60	28	26	13
EC-18B	915161100	46129	736	46865	60171	20345	23395	1709	135	132	94	95	33	86	55	32	10	8
EC-15K	915161040	45579	908	46487	61882	20537	22890	1353	114	84	98	230	58	50	84	37	17	27
EC-22H	915160980	45529	725	46254	59827	19546	23868	1337	135	129	108	109	101	49	60	45	26	16
EC-06B	915160920	44823	1193	46016	59333	20984	22068	826	211	164	133	136	67	76	71	52	22	13
EC-07H	915160860	44978	1000	45978	63300	20042	22008	2207	64	61	63	225	112	37	119	18	15	7
EC-13B	915160800	45154	701	45855	56629	15225	28822	86	191	219	115	34	152	120	137	34	8	11
EC-15E	915160740	44869	965	45834	59601	18163	24187	1847	103	80	106	133	78	47	55	25	21	24
EC-05C	915160680	44433	1322	45755	64069	20185	21709	1392	168	172	122	239	94	56	170	59	34	33
EC-17G	915160620	44704	964	45668	58684	19151	23631	1144	141	146	121	87	44	64	97	36	26	16
EC-20A	915160560	44574	1028	45602	58803	19156	21890	2337	247	294	204	130	78	85	57	43	26	27
EC-01G	915160500	43964	1500	45464	63466	17572	22868	2514	42	55	60	485	203	36	94	10	18	7
EC-22G	915160440	44393	998	45391	59922	19765	22655	902	195	184	173	162	97	68	78	66	12	36
EC-17A	915160380	44323	745	45068	62120	16742	24878	1875	180	142	138	98	30	92	67	41	15	25
EC-07B	915160320	44171	880	45051	58545	16358	24642	2595	78	55	62	141	84	47	55	32	9	13
EC-14B	915160260	43754	1227	44981	77484	28061	13807	573	224	201	130	74	304	71	201	51	30	27
EC-19G	915160200	43156	1203	44359	56170	20447	20063	1665	156	126	99	128	33	69	291	47	15	17
EC-22C	915160140	43240	924	44164	59084	16407	23670	2314	105	104	121	259	85	39	61	32	22	21
EC-01D	915160080	42770	1388	44158	64386	22281	17777	1486	61	89	59	410	419	34	109	19	16	10
EC-15F	915160020	43252	835	44087	58677	18484	22991	1197	101	99	74	103	32	53	58	34	15	11
EC-04H	915159960	42865	1213	44078	59187	20803	19893	1173	83	73	66	431	133	38	114	29	16	13
EC-17B	915159900	43087	690	43777	58774	17732	23075	1579	170	137	94	69	29	65	76	25	21	15
EC-13C	915159840	42924	707	43631	55387	18390	23773	34	149	136	112	18	79	65	129	22	7	10
EC-05B	915159780	42179	1112	43291	53732	16091	24073	1069	200	181	171	112	35	74	64	48	31	30
EC-22B	915159720	41781	750	42531	57224	18227	21032	1670	134	127	106	206	67	51	70	47	20	24
EC-04G	915159660	41174	1059	42233	55180	19808	19900	638	153	128	116	108	42	51	149	46	19	16
EC-14C	915159600	41324	716	42040	66690	18987	20908	120	274	307	165	44	34	108	298	41	18	20
EC-07C	915159540	41133	857	41990	56502	14882	22445	3157	144	51	103	115	55	65	51	30	19	16
EC-22D	915159480	41065	809	41874	54323	15635	22909	1740	112	97	118	204	65	56	52	39	16	22
EC-22I	915159420	41056	801	41857	54448	19062	19771	1202	201	205	179	146	75	57	66	45	20	27
EC-01F	915159360	40194	1446	41640	58407	19126	18683	1346	33	78	44	412	324	17	86	9	20	16
EC-15N	915159300	39821	1147	40968	55412	17011	19594	2283	140	147	154	137	95	74	102	44	24	16
EC-12C	915159240	39723	869	40592	68729	31295	6962	53	354	484	132	54	200	53	37	59	18	22
EC-19F	915159180	39450	960	40410	49560	18969	18433	1401	134	117	88	72	61	55	54	35	15	16
EC-19E	915159120	38913	1433	40346	51998	18382	18253	1384	142	154	131	163	39	77	85	57	21	25
EC-01C	915159060	38213	1058	39271	55338	19151	17023	1289	57	57	42	275	148	23	119	13	5	11
EC-21G	915159000	38406	544	38950	46426	15428	21261	963	137	131	135	84	93	49	48	43	15	19
EC-14A	915158940	37808	586	38394	57634	14551	20781	1515	236	202	181	90	37	65	73	35	21	21
EC-19I	915158880	36396	1210	37606	48861	18053	16622	826	164	180	121	103	86	52	92	57	23	17
EC-19C	915158820	36371	1222	37593	48066	18124	16558	748	189	205	155	95	64	67	61	54	28	23
EC-11B	915158760	36282	968	37250	86970	27621	6845	427	257	326	142	55	293	42	178	45	24	27
EC-04D	915158700	35993	922	36915	46840	16335	18216	632	135	186	133	113	29	60	54	48	22	30
EC-17F	915158640	34693	743	35436	46770	14393	18131	1508	131	136	102	77	31	43	72	32	21	16
EC-04A	915158580	34774	637	35411	46621	16428	16777	933	115	93	70	134	46	41	57	49	16	15
EC-22F	915158520	34357	749	35106	46078	14224	18314	1232	99	101	78	117	34	44	63	28	10	13
EC-07A	915158460	32800	539	33339	45790	13372	17524	1466	75	53	54	101	60	29	37	9	12	8
EC-19D	915158400	31098	882	31980	42591	13310	16039	1125	71	88	92	115	72	37	105	20	15	9
EC-19B	915158340	28369	958	29327	38978	13003	13336	957	218	230	193	116	49	56	68	82	32	29
EC-04E	915158280	27743	720	28463	36214	11955	14497	669	139	88	109	107	34	50	33	34	14	14
EC-01E	915158220	25298	896	26194	40908	16531	7327	406	17	99	36	210	539	13	92	15	7	6
EC-04I	915158160	25292	624	25916	34410	13809	10101	639	40	43	34	349	105	29	109	14	11	9
EC-11A	915158100	24637	446	25083	65883	15407	8446	34	156	128	91	35	120	39	113	21	16	31
EC-15P	915158040	19207	692	19899	19899	8266	9521	1100	0	5	7	185	96	6	7	3	11	0
EC-02P	915157980	17912	1040	18952	18952	6471	9764	1214	6	8	10	285	124	10	2	3	12	3
EC-04P	915157920	16548	605	17153	17153	7284	8013	876	1	5	9	239	98	5	13	0	5	0
EC-01P	915157860	15798	1144	16942	16942	6070	7894	1152	3	6	11	397	237	2	17	1	4	4
EC-10D	915157800	15691	714	16405	62002	5003	9194	57	311	191	104	115	386	73	126	55	36	40
EC-10E	915157740	14273	577	14850	58751	5941	6607	49	335	265	122	133	332	84	161	111	55	78
EC-10B	915157680	12760	767	13527	58350	4232	6854	53	293	228	127	139	466	71	125	77	49	49
EC-07P	915157620	12674	526	13200	13200	4848	6232	1289	18	2	14	124	123	5	7	2	7	3
EC-10H	915157560	12098	1059	13157	53247	7494	3430	68	127	109	84	77	356	33	158	51	49	62
EC-10F	915157500	11669	737	12406	53545	5685	4664	44	210	138	118	72	417	53	88	88	41	51
EC-03P	915157440	11633	504	12137	12137	4403	6169	791	2	4	4	172	67	4	4	0	11	2
EC-17P	915157380	11075	298	11373	11373	4129	6167	650	2	8	4	60	31	6	5	5	7	1
EC-10I	915157320	10778	384	11162	63799	4834	5125	18	113	95	49	54	328	29	47	41	21	24
EC-22P	915157260	10686	372	11058	11058	4456	5380	657	6	2	7	106	56	4	9	1	1	1
EC-19P	915157200	10110	277	10387	10387	4190	4944	823	1	2	5	74	52	5	7	0	4	3
EC-10C	915157140	8606	321	8927	61514	2271	5324	24	197	158	81	93	208	58	90	49	28	25
EC-10G	915157080	8118	453	8571	42304	4270	3062	33	95	72	65	58	258	34	80	32	28	31
EC-08P	915157020	7776	379	8155	8155	3024	3619	936	4	9	5	92	74	3	5	0	3	2
EC-10A	915156960	7617	419	8036	50885	3580	3377	50	108	62	45	40	154	34	84	31	20	32
EC-10J	915156900	7113	314	7427	51581	3263	3471	11	57	28	25	22	151	14	46	10	8	7
EC-21P	915156840	6235	146	6381	6381	2502	3188	418	0	4	5	48	59	5	1	0	4	1
EC-05P	915156780	5647	234	5881	5881	2482	2680	393	5	2	8	54	13	3	5	0	0	2
EC-09P	915156720	5415	170	5585	5585	2108	2206	998	1	5	12	37	37	5	3	1	1	1
EC-13P	915156660	4660	243	4903	4903	2071	2272	0	1	3	1	10	33	0	19	2	2	0
EC-06P	915156600	4786	92	4878	4878	2088	2333	285	3	0	3	21	47	2	3	0	1	0
EC-20P	915156540	4535	141	4676	4676	1956	2154	375	0	3	0	20	22	2	1	0	2	0
EC-16P	915156480	4135	146	4281	4281	1752	2042	278	1	0	2	19	32	1	7	0	1	0
EC-18P	915156420	3253	83	3336	3336	1154	1755	297	0	1	2	21	16	3	0	1	3	0
EC-14P	915156360	3195	113	3308	3308	1752	1195	99	1	3	1	10	101	1	27	1	3	1
EC-12P	915156300	2183	85	2268	2268	1491	551	8	1	2	2	1	95	0	31	0	1	0
EC-10K	915156240	2016	117	2133	56792	1262	593	6	26	22	11	12	33	3	31	6	8	3
EC-11C	915156180	1182	30	1212	52688	389	751	15	6	1	1	2	4	2	9	2	0	0
EC-10P	915156120	829	119	948	948	170	342	0	1	0	0	3	305	1	5	1	0	1
EC-11P	915156060	589	46	635	635	386	160	6	1	1	0	1	27	0	6	1	0	0
