pd_id	result_ut	valid	rejected	polled	electors	NDF	UPFA	DUNF	UDF	JSP	SLLP	Ind 5	Ind 1	NSH	ONF	USP	Ind 3	LF	SEP	NA	Ind 2	RPP	JP	Ind 4	PNF	ACAKO	UNAF
EC-17E	1262322600	84999	650	85649	115275	25591	57967	295	85	238	96	19	222	61	51	42	91	34	22	16	57	18	26	22	13	23	10
EC-09C	1262322540	85119	511	85630	109409	23729	60082	238	64	263	114	32	215	48	47	47	55	35	15	10	41	11	21	26	7	10	9
EC-02L	1262322480	84611	629	85240	107786	31762	52066	102	68	118	100	20	91	35	40	34	54	25	8	7	28	7	10	14	10	4	8
EC-01K	1262322420	83732	689	84421	108138	28875	53664	151	129	215	94	42	148	42	43	56	52	68	30	9	37	17	12	13	16	9	10
EC-03A	1262322360	82947	553	83500	105569	31319	50772	96	112	122	77	15	100	33	42	34	50	49	19	11	26	16	10	22	5	6	11
EC-03F	1262322300	82085	581	82666	106878	29719	51330	129	111	218	76	24	133	43	40	43	63	30	25	15	34	7	7	17	8	12	1
EC-02K	1262322240	81324	484	81808	104155	23619	56758	124	81	208	59	17	137	37	31	29	74	25	20	12	38	10	12	13	6	8	6
EC-03G	1262322180	80558	523	81081	104363	35678	43787	133	153	172	80	12	124	60	54	44	78	27	22	23	49	12	10	16	10	7	7
EC-02A	1262322120	79160	830	79990	103893	38789	39316	215	110	140	97	42	82	50	48	37	50	60	22	12	35	5	11	8	10	9	12
EC-02D	1262322060	77624	476	78100	99742	28518	48149	197	90	145	61	15	108	43	38	41	55	24	14	9	44	11	16	12	9	8	17
EC-21D	1262322000	76490	589	77079	96855	28201	46716	255	142	200	108	45	170	105	87	81	83	48	30	36	46	18	27	24	26	25	17
EC-16C	1262321940	76470	558	77028	108244	29541	45617	328	124	154	96	32	144	63	50	49	66	25	30	26	53	4	14	21	12	10	11
EC-15C	1262321880	76418	502	76920	105779	25199	49854	365	58	179	83	34	210	65	54	40	70	33	25	19	38	14	17	21	24	8	8
EC-03E	1262321820	75482	564	76046	99737	26016	47988	183	233	275	108	47	124	53	56	73	77	42	34	21	44	17	29	21	22	4	15
EC-07E	1262321760	75453	457	75910	94245	26061	47987	227	114	231	111	30	186	76	35	58	68	37	11	21	57	28	20	21	37	18	19
EC-03H	1262321700	72523	486	73009	93972	23717	47317	168	173	286	107	36	195	76	49	83	72	41	23	22	57	14	25	18	18	12	14
EC-21E	1262321640	72344	562	72906	92891	27302	43368	375	191	162	131	45	167	104	95	66	73	37	26	39	40	29	20	18	25	19	12
EC-09A	1262321580	72050	529	72579	93685	22537	48187	238	112	215	110	32	181	72	60	50	55	31	21	20	30	15	22	25	19	5	13
EC-16B	1262321520	70906	508	71414	101696	19622	49895	354	84	264	91	27	209	45	49	36	88	28	9	14	40	7	8	9	11	8	8
EC-15I	1262321460	70668	349	71017	94743	27813	41881	200	70	130	57	22	104	60	45	33	70	30	13	18	42	19	12	16	12	15	6
EC-07F	1262321400	70302	489	70791	89805	24446	44495	168	138	262	83	38	135	63	54	69	83	42	22	21	60	14	21	27	33	16	12
EC-02B	1262321340	69723	650	70373	96028	36669	32125	187	138	122	67	48	69	32	50	27	35	48	14	11	34	7	7	14	10	2	7
EC-15A	1262321280	69661	334	69995	96354	21666	46752	307	77	192	98	27	189	54	47	31	42	26	23	10	40	9	13	20	13	11	14
EC-21A	1262321220	69575	416	69991	89518	22277	46177	158	105	224	87	27	135	38	58	47	63	36	15	13	40	14	13	9	12	17	10
EC-21F	1262321160	69292	574	69866	86973	22431	45248	257	173	220	118	44	169	67	67	85	82	40	40	39	41	22	27	30	18	29	45
EC-15H	1262321100	69380	390	69770	89310	25547	43052	127	67	97	64	22	119	34	43	30	40	25	16	13	22	10	11	11	12	9	9
EC-20B	1262321040	68096	743	68839	96386	19990	46731	193	121	261	108	47	191	74	70	47	57	32	19	30	28	23	14	23	14	11	12
EC-15J	1262320980	68047	436	68483	89631	23056	44172	161	65	109	64	21	100	29	31	24	87	29	14	21	25	5	5	10	7	9	3
EC-16E	1262320920	67833	471	68304	99774	26023	40931	174	93	119	63	12	101	30	48	41	54	25	7	14	34	11	21	10	10	4	8
EC-08C	1262320860	67519	449	67968	87510	21926	44527	144	112	185	95	28	130	45	39	54	54	25	15	14	33	19	20	15	15	13	11
EC-04L	1262320800	66657	857	67514	91146	32090	33078	273	171	184	104	49	129	99	83	61	60	38	30	46	57	25	18	18	20	14	10
EC-15D	1262320740	65853	548	66401	92150	22538	42240	269	80	140	83	18	115	56	47	41	72	36	17	12	32	7	15	9	11	9	6
EC-08A	1262320680	65613	624	66237	86311	20939	42999	250	142	332	139	38	205	81	69	95	60	46	20	21	47	38	28	15	21	15	13
EC-07I	1262320620	65526	371	65897	84872	24345	40321	114	82	145	79	10	91	32	41	39	66	21	19	9	48	12	7	6	12	16	11
EC-04F	1262320560	65060	656	65716	85857	27852	36212	209	113	119	73	29	79	62	49	39	50	40	26	12	26	12	9	16	15	8	10
EC-07D	1262320500	65320	382	65702	84772	20219	44036	141	83	242	78	23	123	33	30	46	81	26	12	12	57	16	20	11	7	15	9
EC-16A	1262320440	64302	941	65243	102643	36971	25751	412	219	141	73	46	125	86	68	88	39	43	29	25	78	13	16	17	20	23	19
EC-17D	1262320380	64575	583	65158	93534	21288	41965	262	85	255	68	24	202	49	52	41	63	36	23	21	57	15	21	10	16	10	12
EC-17C	1262320320	64582	517	65099	88157	22270	41418	241	40	154	60	19	109	39	38	32	35	29	8	6	27	9	10	16	8	11	3
EC-08B	1262320260	64522	452	64974	85686	17626	45590	220	97	300	99	26	154	45	43	49	53	33	21	14	58	15	30	13	16	12	8
EC-15B	1262320200	64369	432	64801	87897	21830	41510	278	56	156	45	21	138	44	37	32	60	21	11	14	36	11	13	14	21	14	7
EC-08G	1262320140	64254	333	64587	86711	21978	41359	91	150	172	64	20	95	39	37	50	51	25	12	10	47	6	11	11	13	9	4
EC-19A	1262320080	63863	491	64354	85562	24057	38486	175	106	207	118	35	161	81	78	53	75	31	18	41	33	20	24	18	25	11	10
EC-02M	1262320020	63671	584	64255	83105	26740	36242	124	85	84	90	13	67	28	27	28	24	18	16	9	31	8	7	10	7	6	7
EC-22A	1262319960	63738	383	64121	83554	23097	39736	128	70	174	71	22	102	44	35	42	62	25	15	16	39	10	8	10	10	9	13
EC-04M	1262319900	62320	1069	63389	85136	25107	35555	332	208	209	117	51	124	103	84	64	73	28	40	36	51	21	32	22	24	15	24
EC-01A	1262319840	61715	1022	62737	95385	42896	17605	197	222	72	99	86	57	89	80	43	26	112	32	12	29	7	9	10	8	14	10
EC-15G	1262319780	62174	360	62534	82441	23273	38036	169	54	124	56	15	108	33	36	40	48	37	13	17	36	13	13	17	15	8	13
EC-08F	1262319720	61642	367	62009	80334	27102	33948	87	61	95	43	11	59	38	38	26	23	15	18	10	25	10	4	8	11	7	3
EC-15M	1262319660	61286	458	61744	82656	23999	36237	208	95	163	69	37	96	43	29	46	84	27	14	18	52	15	14	14	10	8	8
EC-15L	1262319600	60922	492	61414	81523	25113	34912	277	51	112	65	17	78	47	36	29	51	29	18	16	27	9	5	7	10	4	9
EC-05D	1262319540	60388	760	61148	83381	25991	32818	232	203	210	97	57	139	88	91	97	87	43	27	32	40	34	25	24	16	15	22
EC-21C	1262319480	60319	617	60936	75685	24283	34773	191	167	151	94	43	120	74	87	65	42	25	34	41	24	25	14	23	18	16	9
EC-22E	1262319420	60327	434	60761	83066	27039	32335	133	91	134	86	17	90	70	55	55	47	34	16	20	34	19	5	11	11	18	7
EC-12A	1262319360	58905	1281	60186	97135	35608	20112	1065	405	222	148	176	208	185	146	75	96	87	57	59	60	31	27	50	33	19	36
EC-07J	1262319300	58923	329	59252	76190	18606	39435	150	91	153	66	18	93	43	33	36	46	15	13	15	55	8	9	12	14	4	8
EC-03D	1262319240	58456	423	58879	74991	19073	38018	233	163	190	119	40	103	62	49	69	77	39	41	26	47	21	23	24	22	10	7
EC-08D	1262319180	58365	364	58729	77705	16561	40879	170	85	149	93	17	108	31	21	42	52	33	17	8	38	12	15	12	10	4	8
EC-04C	1262319120	57703	838	58541	78688	27692	28628	238	162	167	108	50	97	84	68	71	66	33	36	29	52	19	27	24	17	20	15
EC-04J	1262319060	57881	506	58387	76996	23290	33664	177	94	135	74	31	77	43	26	40	37	41	20	17	38	9	22	23	6	6	11
EC-04K	1262319000	57454	631	58085	76812	27123	29235	216	114	146	76	39	82	57	56	45	54	36	16	30	44	20	17	15	10	11	12
EC-19H	1262318940	57311	735	58046	77312	26085	29975	182	157	178	83	61	100	71	74	60	73	23	34	23	27	20	20	13	21	18	13
EC-16D	1262318880	57124	355	57479	83218	21612	34799	143	65	88	55	12	86	38	31	30	36	30	26	8	22	9	2	9	12	5	6
EC-18A	1262318820	56990	350	57340	77084	16517	39587	167	55	163	70	13	139	40	39	30	49	21	16	14	23	4	10	11	8	8	6
EC-09B	1262318760	56862	324	57186	74470	17965	38055	131	87	133	66	25	93	34	46	46	56	24	10	14	26	8	15	8	10	7	3
EC-01I	1262318700	55825	557	56382	73009	26129	29125	55	46	45	136	10	56	19	31	24	33	51	9	4	16	4	8	2	10	6	6
EC-07G	1262318640	55672	336	56008	74442	17617	37329	125	58	155	44	9	105	30	26	30	43	11	20	8	23	9	6	8	8	2	6
EC-14C	1262318580	55219	696	55915	85401	32631	21002	384	252	110	65	52	131	117	98	94	58	32	30	33	43	15	8	31	11	11	11
EC-05C	1262318520	54347	650	54997	75154	26013	26996	289	159	174	83	48	100	61	60	57	75	34	25	29	39	16	17	25	23	16	8
EC-04H	1262318460	54356	534	54890	72906	25243	28444	105	71	83	50	28	65	41	27	29	28	35	17	10	27	3	5	16	6	19	4
EC-15K	1262318400	54555	311	54866	73283	19328	34501	146	48	120	59	14	88	29	30	29	47	17	11	6	32	8	10	11	10	6	5
EC-08E	1262318340	54372	308	54680	74601	17219	36428	116	84	145	62	12	74	33	33	23	35	14	8	5	35	7	11	6	9	5	8
EC-18B	1262318280	54302	281	54583	72402	18979	34613	93	57	89	49	9	130	61	45	24	57	9	8	18	16	8	3	12	7	7	8
EC-07H	1262318220	54038	312	54350	71575	27625	25797	75	73	94	37	17	64	35	30	34	44	20	10	7	30	10	5	12	6	11	2
EC-22H	1262318160	53764	458	54222	70448	19819	33145	140	92	163	50	28	59	23	21	47	49	11	16	9	20	18	16	9	11	13	5
EC-15E	1262318100	53598	343	53941	71905	16282	36497	185	57	128	62	16	89	37	29	35	48	31	21	9	27	9	11	9	7	5	4
EC-17G	1262318040	53491	396	53887	73885	18431	34101	227	64	134	61	21	141	41	31	37	60	19	19	15	33	13	16	8	9	7	3
EC-06D	1262317980	52994	875	53869	73369	21474	29618	381	196	315	169	105	135	61	84	69	76	58	40	29	48	26	35	18	26	17	14
EC-07B	1262317920	53334	320	53654	68780	19191	33488	79	50	150	37	4	93	27	27	27	30	17	19	19	31	6	5	7	11	7	9
EC-06B	1262317860	52570	1057	53627	70730	26727	24120	531	210	190	107	68	94	80	91	73	44	28	30	35	35	35	17	24	16	7	8
EC-15F	1262317800	53285	270	53555	70131	19681	32854	182	54	107	41	16	98	28	37	31	37	24	11	12	31	8	7	11	10	3	2
EC-22G	1262317740	53090	431	53521	69964	20346	31456	217	153	161	99	58	113	82	68	65	58	30	32	18	31	23	21	23	18	10	8
EC-14B	1262317680	51698	1050	52748	86685	35887	13935	445	384	83	83	193	74	69	98	95	35	60	30	28	44	24	22	27	24	27	31
EC-17A	1262317620	51982	293	52275	75683	14971	35996	236	54	171	83	19	148	49	38	31	56	16	16	5	21	14	12	12	16	12	6
EC-17B	1262317560	51687	356	52043	73590	17054	33622	311	70	137	53	20	151	51	42	22	37	28	8	8	20	19	9	8	6	7	4
EC-20A	1262317500	51357	544	51901	74692	15649	34523	192	104	252	104	23	153	48	47	37	51	34	27	14	23	10	16	12	15	12	11
EC-19G	1262317440	51232	509	51741	68937	23092	27252	110	82	99	57	36	85	42	64	53	60	21	20	22	44	16	13	17	16	17	14
EC-22C	1262317380	49674	372	50046	67118	15791	33129	127	69	116	62	20	84	28	34	26	49	18	24	12	38	8	8	7	12	6	6
EC-01G	1262317320	49316	512	49828	66622	22589	26215	46	44	59	71	17	45	22	24	22	22	55	17	10	24	3	7	7	6	4	7
EC-11B	1262317260	48163	1335	49498	112924	31796	13742	569	381	183	104	308	125	127	122	115	68	136	58	52	39	27	30	46	41	23	71
EC-07C	1262317200	49024	308	49332	67025	13420	34809	91	67	198	57	9	118	28	27	18	46	20	3	10	44	14	11	13	9	7	5
EC-05B	1262317140	48798	361	49159	64696	16300	31277	213	100	188	90	44	136	72	46	59	70	31	21	28	32	15	20	20	15	15	6
EC-01D	1262317080	48295	699	48994	68643	28334	19107	81	74	43	207	66	30	30	38	44	31	109	25	13	19	3	14	4	4	5	14
EC-13B	1262317020	48262	556	48818	71442	27003	19991	236	300	110	71	59	105	58	84	49	46	18	17	17	29	9	14	11	14	10	11
EC-04G	1262316960	47721	674	48395	65176	21791	24601	295	136	202	119	41	94	56	71	52	62	38	8	31	35	12	21	26	17	5	8
EC-22B	1262316900	47946	330	48276	64565	16077	30980	136	86	146	86	30	85	43	36	34	45	25	20	10	41	17	14	13	6	9	7
EC-06C	1262316840	47476	748	48224	65969	16470	29164	518	165	312	127	69	112	74	53	57	53	46	21	31	70	23	27	22	17	26	19
EC-15N	1262316780	47471	308	47779	65846	17596	28907	198	69	169	71	21	117	41	46	45	48	24	12	18	28	8	16	13	12	9	3
EC-19E	1262316720	46906	665	47571	63124	21946	23758	144	151	161	76	73	85	63	71	66	67	39	39	32	33	18	17	21	17	14	15
EC-15P	1262316660	46206	1111	47317	47317	14673	31379	40	11	17	5	1	20	4	6	6	9	10	1	0	7	1	9	2	3	0	2
EC-12C	1262316600	45904	1161	47065	80972	36776	5968	1016	578	150	141	154	86	206	161	100	55	111	54	70	26	36	36	57	58	30	35
EC-22D	1262316540	46517	346	46863	62325	15967	29864	131	54	99	49	15	74	38	40	23	51	16	27	12	17	8	6	6	8	6	6
EC-21G	1262316480	46476	278	46754	57232	14009	31514	141	104	141	94	8	144	37	50	57	40	18	13	15	25	11	10	14	15	7	9
EC-22I	1262316420	46145	398	46543	61507	16461	28460	164	140	202	94	36	107	56	55	56	72	50	21	19	49	12	30	10	24	16	11
EC-19I	1262316360	44159	831	44990	60706	23856	19135	154	218	83	82	53	66	87	86	63	35	34	39	35	32	28	12	19	19	11	12
EC-19F	1262316300	44459	425	44884	59472	18696	24831	131	88	121	68	37	90	42	67	60	61	16	23	25	22	14	13	18	19	13	4
EC-01F	1262316240	44383	465	44848	61194	24441	19457	52	33	34	63	43	39	22	18	14	25	73	12	8	19	2	6	7	5	5	5
EC-14A	1262316180	44269	563	44832	69047	15260	27932	262	121	100	66	32	133	63	42	54	51	29	19	21	14	19	10	13	13	6	9
EC-13C	1262316120	43486	544	44030	66135	32946	9564	181	284	39	62	45	27	39	81	41	28	26	7	10	19	8	15	39	8	11	6
EC-19C	1262316060	42531	716	43247	60002	22601	18529	177	231	130	102	68	75	90	109	71	52	46	25	47	30	34	20	31	29	19	15
EC-17F	1262316000	42429	358	42787	59137	13928	27619	206	66	147	57	22	112	29	40	25	65	10	13	10	27	10	3	11	16	7	6
EC-04D	1262315940	41613	397	42010	55629	13220	27179	265	97	183	89	30	132	58	51	44	68	30	19	18	51	11	15	17	17	6	13
EC-01C	1262315880	41132	543	41675	58757	23636	16909	67	65	34	109	28	47	29	34	23	28	46	11	7	16	8	7	7	6	8	7
EC-04A	1262315820	38836	300	39136	52553	15338	22703	170	84	120	75	19	59	36	30	28	42	17	10	13	30	13	13	14	6	13	3
EC-19D	1262315760	38392	441	38833	51468	17917	19799	69	75	72	60	42	45	45	57	31	47	14	23	17	19	14	11	13	10	7	5
EC-22F	1262315700	37543	268	37811	51391	13469	23204	177	75	113	60	19	95	39	47	39	40	32	18	17	35	7	19	9	11	12	6
EC-17P	1262315640	36293	632	36925	36925	10228	25760	143	13	32	10	2	30	6	3	7	10	11	1	1	12	3	5	0	9	0	7
EC-07A	1262315580	36401	241	36642	50109	12198	23634	71	44	134	32	10	59	27	29	23	39	19	24	4	26	2	8	4	3	5	6
EC-19B	1262315520	34267	1068	35335	48231	12529	20816	107	98	152	79	42	76	55	61	46	53	18	21	20	17	15	19	14	8	5	16
EC-04E	1262315460	33876	509	34385	45144	13957	19009	183	105	119	45	21	75	62	47	35	45	27	22	12	37	14	14	18	9	12	8
EC-02P	1262315400	30344	555	30899	30899	9698	20528	22	11	6	8	1	10	2	3	8	7	19	3	0	2	4	7	0	1	1	3
EC-04P	1262315340	30318	300	30618	30618	10025	20184	23	9	10	6	4	8	3	6	4	3	12	6	1	3	1	5	1	0	2	2
EC-11A	1262315280	28717	455	29172	85322	20157	6656	923	242	73	44	105	65	74	71	49	28	42	45	22	16	17	13	13	10	17	35
EC-04I	1262315220	27277	268	27545	36938	15358	11636	47	20	24	16	16	31	20	14	4	11	28	8	7	9	5	4	4	9	5	1
EC-01E	1262315160	26030	444	26474	38921	19211	6350	45	43	20	33	63	18	19	18	10	29	104	21	5	12	5	1	5	5	5	8
EC-07P	1262315100	23628	220	23848	23848	7905	15640	15	4	6	3	0	13	3	4	4	3	11	4	0	4	1	3	3	0	0	2
EC-19P	1262315040	23174	202	23376	23376	8056	14998	43	6	11	8	3	12	4	2	3	2	6	4	1	8	0	4	1	0	2	0
EC-10D	1262314980	21594	881	22475	71114	13390	5749	391	447	189	85	231	66	106	101	122	105	173	62	45	48	35	41	56	51	38	63
EC-22P	1262314920	21220	184	21404	21404	6811	14330	24	5	4	4	1	12	1	4	4	3	6	2	1	5	0	1	1	0	0	1
EC-10E	1262314860	20508	625	21133	65798	13151	4538	528	471	160	100	306	83	112	98	146	93	151	68	67	72	64	53	84	65	34	64
EC-03P	1262314800	19940	187	20127	20127	6177	13695	5	7	8	2	2	10	3	1	4	1	6	4	2	4	0	4	1	0	1	3
EC-10H	1262314740	18590	860	19450	65141	11599	4567	323	493	141	80	348	59	94	55	113	82	121	92	47	85	41	36	71	45	31	67
EC-10B	1262314680	18684	752	19436	63991	11712	4247	326	486	164	75	500	63	71	106	110	85	139	127	63	62	70	46	75	51	35	71
EC-01P	1262314620	19074	314	19388	19388	6897	12119	8	7	3	1	2	2	1	0	4	2	16	1	0	3	1	4	1	0	2	0
EC-10I	1262314560	16391	557	16948	72558	11543	3554	196	231	73	54	173	31	50	52	68	52	89	25	36	31	16	20	27	13	20	37
EC-13P	1262314500	15990	138	16128	420835	5885	9989	18	7	13	4	11	9	6	1	4	4	7	1	0	1	2	3	23	1	1	0
EC-08P	1262314440	15642	128	15770	15770	5159	10425	10	5	3	2	2	4	1	3	6	1	8	1	0	1	0	6	1	2	1	1
EC-11-D	1262314380	15059	335	15394	15394	9687	4598	286	67	50	32	55	48	40	46	21	8	17	16	28	11	8	9	10	13	3	6
EC-10C	1262314320	14440	493	14933	69082	8216	4559	254	283	169	59	207	51	59	56	68	70	88	32	35	43	19	28	49	37	23	35
EC-18P	1262314260	14115	131	14246	14246	4057	9971	39	6	6	1	3	10	2	3	0	1	2	1	0	5	0	2	0	2	1	3
EC-10F	1262314200	13355	600	13955	56426	8974	2545	301	314	97	50	334	47	68	61	68	71	78	58	38	41	38	21	43	31	20	57
EC-21P	1262314140	13642	111	13753	13753	4143	9458	9	2	0	4	4	5	2	1	2	2	4	2	0	2	1	1	0	0	0	0
EC-05P	1262314080	12937	117	13054	13054	4038	8846	11	3	2	6	2	10	3	1	2	1	6	1	1	1	1	0	0	0	1	1
EC-20P	1262314020	12717	195	12912	12912	3795	8871	9	3	6	4	0	12	0	0	2	2	4	0	0	2	1	0	3	0	2	1
EC-10G	1262313960	12388	440	12828	48613	8585	2361	223	227	73	24	326	39	44	43	47	34	100	43	24	27	30	20	35	20	22	41
EC-09P	1262313900	12699	106	12805	12805	3679	8982	6	1	7	5	0	7	3	0	0	0	3	1	0	1	1	2	0	0	0	1
EC-10J	1262313840	11960	454	12414	64714	7914	3296	107	139	50	31	126	27	29	30	18	31	41	20	8	19	12	7	10	11	11	23
EC-14P	1262313780	10799	120	10919	241133	3798	6882	23	8	18	4	25	8	3	2	4	3	4	1	0	4	0	2	5	0	1	4
EC-10A	1262313720	9983	338	10321	53111	3976	4611	283	144	136	43	284	60	32	30	42	38	56	94	18	36	12	16	15	15	9	33
EC-10-D	1262313660	9786	361	10147	10147	6927	2244	233	41	28	21	65	16	35	32	18	11	20	16	18	12	4	6	10	10	7	12
EC-11C	1262313600	9367	258	9625	68729	6882	1726	237	99	28	43	41	35	53	33	27	10	16	12	27	16	13	18	15	10	9	17
EC-06P	1262313540	9214	89	9303	9303	3067	6098	11	0	4	0	9	6	1	1	3	0	3	0	0	2	0	3	0	2	3	1
EC-16P	1262313480	7478	53	7531	7531	2464	4988	4	2	1	2	3	5	1	0	0	2	2	1	0	1	0	1	1	0	0	0
EC-10K	1262313420	6280	286	6566	90811	4717	991	199	45	28	23	42	27	26	32	19	10	23	19	13	8	8	11	10	8	9	12
EC-12P	1262313360	5219	67	5286	333644	3637	1491	8	4	1	0	49	2	1	3	2	0	15	0	0	0	1	0	4	1	0	0
EC-10P	1262313300	4410	116	4526	4526	3173	892	6	4	2	0	263	2	6	0	1	1	49	1	0	1	2	2	0	1	1	3
EC-11P	1262313240	3946	45	3991	266975	1845	2018	6	2	9	4	40	6	0	2	0	1	6	2	1	0	0	0	0	0	1	3
EC-14-D	1262313180	87	3	90	90	85	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-12-D	1262313120	63	2	65	65	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-13-D	1262313060	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
