pd_id	result_ut	valid	rejected	polled	electors	UNP	UPFA	USP	JSP	ULPP	NLF	ULF	RPP	SLNF	DUA	SEP	SLPF	UNAF
EC-05A	1104554640	83778	1073	84851	111401	38692	43853	325	361	102	117	61	84	71	41	31	23	17
EC-02E	1104554580	82801	982	83783	107553	36345	45537	227	196	145	85	70	38	62	42	28	13	13
EC-12B	1104554520	82428	970	83398	147979	65401	15798	474	265	136	51	73	51	20	93	41	18	7
EC-01H	1104554460	82028	892	82920	107725	40744	40616	178	166	117	47	34	36	27	19	24	13	7
EC-21B	1104554400	81572	720	82292	100230	37253	43251	259	276	111	73	73	91	83	48	14	27	13
EC-17E	1104554340	80879	836	81715	106717	33758	46073	247	256	107	99	54	80	94	45	18	28	20
EC-09C	1104554280	80319	695	81014	102009	25992	53291	232	307	107	93	38	103	66	41	24	24	1
EC-03C	1104554220	80089	802	80891	100085	34300	44801	293	232	134	68	53	56	54	48	21	15	14
EC-03A	1104554160	79921	762	80683	101328	33034	46097	216	182	128	85	47	46	25	22	23	14	2
EC-01K	1104554100	79098	865	79963	101065	36227	41936	281	209	114	88	66	51	33	31	36	16	10
EC-03F	1104554040	78930	808	79738	102020	32916	45143	237	222	91	63	43	76	48	36	37	13	5
EC-02L	1104553980	78601	754	79355	99193	34685	43249	155	183	118	47	28	42	41	23	21	7	2
EC-02K	1104553920	77055	669	77724	97143	30306	45849	227	238	129	61	52	51	56	39	28	11	8
EC-03G	1104553860	75851	885	76736	99026	37390	37402	372	224	105	84	55	66	48	47	27	21	10
EC-15C	1104553800	75322	728	76050	100497	34469	40136	214	165	51	64	41	67	52	14	18	18	13
EC-02D	1104553740	75100	680	75780	93677	34945	39347	217	179	115	79	51	46	48	36	15	15	7
EC-07E	1104553680	74929	654	75583	89156	31489	42304	301	354	112	71	61	82	60	39	29	16	11
EC-16C	1104553620	74378	685	75063	102987	37372	36115	234	189	119	68	49	59	50	49	44	22	8
EC-02A	1104553560	73148	873	74021	94455	40984	31446	200	141	151	47	39	37	37	22	31	8	5
EC-03E	1104553500	71982	756	72738	93479	30853	40006	379	271	105	67	58	65	60	53	29	23	13
EC-21D	1104553440	70587	836	71423	87938	34049	35410	314	306	100	91	50	62	95	48	22	31	9
EC-03H	1104553380	70081	656	70737	89979	31449	37518	408	254	81	91	56	57	57	52	24	26	8
EC-07F	1104553320	69530	699	70229	85786	27764	40558	354	350	112	84	53	68	78	40	27	28	14
EC-15A	1104553260	69335	610	69945	91698	30720	37876	163	219	64	66	33	67	43	38	21	17	8
EC-16B	1104553200	69139	632	69771	96744	30358	38002	202	202	73	46	47	91	43	39	24	9	3
EC-15I	1104553140	68892	658	69550	89722	33874	34357	206	145	89	39	45	33	37	26	23	8	10
EC-09A	1104553080	68789	645	69434	88528	24784	42897	292	298	100	84	43	110	81	52	19	21	8
EC-21E	1104553020	68605	805	69410	84595	34413	33169	309	278	87	82	48	73	44	41	10	33	18
EC-15J	1104552960	67741	599	68340	85455	29818	37231	175	190	104	40	51	41	41	19	10	14	7
EC-15H	1104552900	67582	522	68104	85753	31580	35311	183	159	109	51	37	38	46	29	19	8	12
EC-08C	1104552840	67246	570	67816	84867	25103	41091	279	326	68	98	43	63	79	51	20	18	7
EC-21A	1104552780	67302	502	67804	83705	29255	37243	254	210	77	69	42	62	34	25	12	12	7
EC-20B	1104552720	66318	897	67215	87943	27754	37575	254	304	66	86	37	87	56	31	31	23	14
EC-08A	1104552660	66173	879	67052	82636	28015	36916	370	330	87	109	52	73	83	54	32	33	19
EC-02B	1104552600	65802	799	66601	89361	40805	24236	252	141	92	75	46	37	34	42	25	16	1
EC-16E	1104552540	65906	637	66543	95892	32191	33040	169	137	123	43	47	45	42	30	17	13	9
EC-21F	1104552480	65582	560	66142	78157	29987	34569	324	271	111	71	50	59	46	40	18	26	10
EC-07D	1104552420	65546	572	66118	82282	25767	38779	296	268	100	68	53	64	70	41	15	17	8
EC-08G	1104552360	65065	568	65633	84614	24225	40027	226	242	66	52	36	50	53	48	15	12	13
EC-08B	1104552300	64118	571	64689	82128	22366	40567	294	368	75	90	45	98	88	71	19	27	10
EC-22A	1104552240	63283	613	63896	80201	30391	32231	176	125	84	47	50	52	57	36	14	10	10
EC-15B	1104552180	63332	532	63864	83696	29691	32978	159	195	56	50	54	43	49	31	9	10	7
EC-15D	1104552120	62900	793	63693	86112	31412	30785	171	185	80	59	44	41	50	35	22	11	5
EC-04L	1104552060	62603	1036	63639	84167	35829	25790	276	258	86	70	65	56	64	41	27	19	22
EC-02M	1104552000	62387	708	63095	80301	28676	33179	130	142	101	37	26	23	20	23	20	5	5
EC-17D	1104551940	62384	671	63055	86433	29829	31575	262	250	77	107	61	74	62	34	21	21	11
EC-07I	1104551880	61779	560	62339	78496	24570	36424	222	211	107	54	40	43	39	27	20	17	5
EC-16A	1104551820	60891	1028	61919	95350	40060	19939	324	182	65	77	38	55	36	52	42	15	6
EC-08F	1104551760	61322	483	61805	79784	22941	37829	127	162	77	36	23	37	26	28	19	10	7
EC-15G	1104551700	61195	394	61589	78140	29941	30624	168	172	77	44	26	43	33	28	21	13	5
EC-19A	1104551640	60523	947	61470	78986	32592	26877	286	307	79	100	51	67	62	38	28	24	12
EC-01A	1104551580	60111	939	61050	85967	45161	14270	270	112	101	59	39	17	20	27	27	5	3
EC-04M	1104551520	59453	965	60418	80003	29882	28544	296	277	85	74	44	56	63	40	48	28	16
EC-17C	1104551460	59764	563	60327	80971	25382	33726	155	169	82	65	32	54	44	25	14	11	5
EC-04F	1104551400	59372	746	60118	77020	31321	27385	204	169	83	33	26	40	35	24	28	20	4
EC-15L	1104551340	58896	625	59521	77003	29564	28791	136	147	90	24	37	40	22	12	18	14	1
EC-15M	1104551280	58867	607	59474	77819	28658	29513	172	201	83	48	38	43	38	30	19	13	11
EC-22E	1104551220	58709	602	59311	78208	32203	25701	220	194	111	60	52	45	49	33	15	17	9
EC-05D	1104551160	58129	955	59084	78314	31449	25551	362	334	96	78	53	55	58	39	19	24	11
EC-08D	1104551100	58237	458	58695	75953	19771	37641	197	229	58	84	47	55	78	37	17	14	9
EC-07J	1104551040	57949	495	58444	73606	22164	35002	194	233	80	54	49	47	48	35	19	18	6
EC-09B	1104550980	56713	492	57205	72862	19290	36615	211	247	81	57	30	47	56	38	16	19	6
EC-03D	1104550920	56179	644	56823	71080	25918	29218	371	251	85	81	36	46	66	40	28	30	9
EC-07G	1104550860	56265	498	56763	73737	21330	34259	221	176	64	47	27	41	32	25	31	9	3
EC-16D	1104550800	56150	445	56595	79631	26367	29227	131	96	96	50	33	41	30	13	48	13	5
EC-04J	1104550740	55934	594	56528	72329	27791	27428	159	210	100	48	34	50	46	26	19	12	11
EC-06D	1104550680	55519	1003	56522	71744	30852	23688	333	285	74	78	30	50	45	35	15	21	13
EC-18A	1104550620	55587	536	56123	72430	23819	31081	176	199	65	52	39	61	43	28	6	12	6
EC-08E	1104550560	55354	415	55769	73005	19288	35319	191	216	96	51	29	68	42	30	11	5	8
EC-19H	1104550500	54393	888	55281	71292	29137	24294	315	285	65	61	46	41	32	26	36	37	18
EC-04K	1104550440	54445	726	55171	71840	30979	22733	203	181	90	55	45	40	45	29	24	14	7
EC-21C	1104550380	54537	570	55107	65445	27178	26511	257	206	100	64	36	53	50	36	17	25	4
EC-01I	1104550320	54504	516	55020	73274	27106	26987	83	88	117	31	19	17	18	20	11	3	4
EC-04C	1104550260	53433	885	54318	71823	31957	20610	284	206	100	73	39	32	50	27	29	17	9
EC-14B	1104550200	53106	956	54062	91095	41369	10878	299	138	133	65	56	37	27	38	33	24	9
EC-15K	1104550140	53467	437	53904	69821	25317	27581	138	155	72	32	30	39	39	24	18	11	11
EC-18B	1104550080	53388	402	53790	69230	25533	27230	181	172	42	61	48	50	25	18	5	15	8
EC-07H	1104550020	52678	520	53198	71425	27166	24972	199	104	85	24	30	23	28	23	11	11	2
EC-15E	1104549960	52618	540	53158	68194	22919	29155	125	137	85	47	29	31	30	28	19	8	5
EC-15F	1104549900	52350	392	52742	67023	25456	26365	156	115	57	63	25	29	36	15	11	16	6
EC-04H	1104549840	52052	630	52682	69243	28894	22670	124	120	83	37	25	16	29	16	21	12	5
EC-22G	1104549780	51874	536	52410	65737	26056	25080	242	190	60	48	41	48	32	25	24	15	13
EC-22H	1104549720	51909	481	52390	65989	24684	26522	224	175	70	46	36	52	42	24	16	9	9
EC-05C	1104549660	51439	932	52371	71171	29637	20945	278	235	88	73	48	33	34	25	17	15	11
EC-20A	1104549600	51612	567	52179	68660	22103	28663	169	280	56	64	43	69	59	38	32	23	13
EC-06B	1104549540	51548	576	52124	65998	33073	17645	378	204	51	35	27	27	29	16	23	24	16
EC-17A	1104549480	51427	446	51873	71396	21647	29071	192	192	54	81	33	69	31	19	14	14	10
EC-17G	1104549420	51224	506	51730	68671	24314	26220	181	196	53	65	32	46	37	37	20	14	9
EC-07B	1104549360	51110	509	51619	64864	20093	30418	151	170	59	48	25	49	42	25	19	4	7
EC-19G	1104549300	50645	640	51285	64481	26108	23736	281	200	76	47	41	49	41	23	8	18	17
EC-01G	1104549240	49181	557	49738	66432	23743	25004	92	76	121	36	26	23	22	16	17	3	2
EC-07C	1104549180	49253	481	49734	64111	17438	31157	164	179	73	49	32	60	42	29	17	8	5
EC-06C	1104549120	48691	843	49534	63421	27061	20725	277	285	58	57	33	46	58	40	18	18	15
EC-17B	1104549060	49011	481	49492	68066	22027	26330	184	201	34	70	20	54	45	15	7	14	10
EC-14C	1104549000	48808	542	49350	81534	29061	18817	338	257	45	32	45	65	16	82	18	22	10
EC-22C	1104548940	48438	421	48859	63755	20451	27444	150	123	73	46	33	36	31	19	16	10	6
EC-22B	1104548880	47616	443	48059	61932	21875	25086	198	154	60	55	39	37	57	21	19	10	5
EC-05B	1104548820	46781	679	47460	60990	22249	23637	243	279	37	86	45	51	65	35	28	14	12
EC-13B	1104548760	46641	517	47158	66666	24969	21029	220	201	34	21	26	54	7	57	13	7	3
EC-15N	1104548700	46391	607	46998	63143	21100	24658	181	166	42	51	29	48	40	28	21	20	7
EC-01D	1104548640	46206	694	46900	65732	28832	16919	102	66	159	33	24	11	15	13	23	4	5
EC-04G	1104548580	45664	660	46324	61006	25874	19058	233	231	55	48	38	23	38	28	14	14	10
EC-22I	1104548520	45573	526	46099	58163	22087	22653	272	248	69	51	37	36	52	23	21	18	6
EC-22D	1104548460	45178	496	45674	59711	20078	24559	139	121	82	38	37	30	33	25	19	11	6
EC-19E	1104548400	44511	785	45296	57900	23638	19946	310	249	73	50	46	27	53	36	35	29	19
EC-19F	1104548340	44218	588	44806	55655	22127	21387	227	165	78	46	26	53	33	21	20	23	12
EC-21G	1104548280	43860	414	44274	52156	18740	24463	176	175	67	47	37	58	33	26	15	16	7
EC-01F	1104548220	43077	369	43446	58728	24660	18005	67	57	158	34	20	19	13	15	19	5	5
EC-19I	1104548160	42582	736	43318	56220	25935	15856	354	174	51	29	35	45	17	24	24	25	13
EC-11B	1104548100	42262	766	43028	104884	33553	7936	276	155	62	68	33	37	40	37	37	15	13
EC-19C	1104548040	41491	874	42365	54910	25176	15717	135	207	53	30	38	39	18	20	29	19	10
EC-01C	1104547980	41809	453	42262	60678	25784	15644	115	60	80	32	22	18	17	10	23	3	1
EC-04D	1104547920	40934	564	41498	52747	20269	19973	186	207	55	68	33	36	46	28	14	9	10
EC-12A	1104547860	40369	503	40872	91410	28482	11105	214	253	43	52	37	52	12	44	43	28	4
EC-17F	1104547800	39925	429	40354	54554	16897	22454	136	160	37	54	26	43	49	31	18	13	7
EC-14A	1104547740	39759	406	40165	66126	17835	21353	142	153	56	50	29	50	26	35	14	9	7
EC-13C	1104547680	38779	456	39235	62251	29316	8951	175	125	68	15	43	19	9	33	13	9	3
EC-04A	1104547620	38269	382	38651	50898	20177	17453	177	200	48	49	43	25	42	20	15	12	8
EC-22F	1104547560	37846	434	38280	49586	18906	18391	179	121	53	40	30	33	42	22	7	17	5
EC-15P	1104547500	37609	414	38023	38023	14290	23146	10	18	83	17	5	10	10	6	6	6	2
EC-19D	1104547440	36623	512	37135	48670	18624	17494	155	129	58	29	29	30	15	22	16	14	8
EC-07A	1104547380	36652	291	36943	48826	15460	20743	133	125	34	20	16	36	26	19	28	8	4
EC-19B	1104547320	34094	611	34705	45049	16423	16803	258	268	45	67	48	48	45	29	25	27	8
EC-04E	1104547260	32567	452	33019	41465	16646	15367	176	138	45	43	35	23	38	22	13	17	4
EC-04I	1104547200	26811	335	27146	36326	17130	9435	55	55	57	20	14	15	6	7	10	6	1
EC-04P	1104547140	26306	410	26716	26716	10502	15686	12	15	57	8	4	3	5	2	12	0	0
EC-02P	1104547080	26084	427	26511	26511	8819	17131	9	7	87	10	2	2	6	2	6	1	2
EC-01E	1104547020	25865	399	26264	38621	20475	5104	52	22	129	37	10	3	10	5	10	7	1
EC-12C	1104546960	25489	247	25736	79339	24142	905	201	58	28	42	29	19	10	16	19	13	7
EC-17P	1104546900	24820	631	25451	25451	9102	15591	21	24	34	28	3	8	5	1	3	0	0
EC-11A	1104546840	23065	361	23426	78906	20463	2183	160	54	21	50	21	18	21	44	18	7	5
EC-07P	1104546780	18777	261	19038	19038	6079	12617	9	3	47	5	2	4	4	2	5	0	0
EC-22P	1104546720	18347	243	18590	18590	6752	11517	4	6	45	6	0	6	5	3	1	0	2
EC-19P	1104546660	17519	244	17763	17763	6822	10624	6	6	36	9	3	2	6	0	3	1	1
EC-01P	1104546600	17144	340	17484	17484	6143	10901	8	2	62	9	1	5	5	1	6	0	1
EC-03P	1104546540	16536	334	16870	16870	5434	11027	6	6	31	12	4	4	5	1	5	0	1
EC-11-D	1104546480	14620	181	14801	14801	9176	5212	80	71	10	9	6	12	2	25	8	5	4
EC-08P	1104546420	14207	133	14340	14340	4128	10021	3	4	27	4	2	7	2	1	7	0	1
EC-13P	1104546360	12309	156	12465	12465	5228	7021	2	14	22	11	3	4	0	2	1	1	0
EC-21P	1104546300	10550	142	10692	10692	3800	6697	3	2	35	6	0	2	1	0	2	2	0
EC-05P	1104546240	10493	146	10639	10639	3910	6547	4	8	19	2	1	1	0	1	0	0	0
EC-09P	1104546180	9591	84	9675	9675	2640	6918	1	1	25	3	1	1	1	0	0	0	0
EC-20P	1104546120	9101	117	9218	9218	3270	5790	2	7	16	8	1	3	1	1	1	1	0
EC-14P	1104546060	8631	190	8821	238755	3913	4621	13	10	42	10	2	5	2	10	2	1	0
EC-18P	1104546000	7872	128	8000	8000	2839	5000	1	4	7	7	3	2	4	3	1	1	0
EC-16P	1104545940	7319	109	7428	7428	2916	4363	3	5	26	3	0	1	2	0	0	0	0
EC-06P	1104545880	7156	147	7303	7303	3099	4039	3	2	11	2	0	0	0	0	0	0	0
EC-12P	1104545820	4551	58	4609	4609	3489	1028	3	2	18	4	3	2	1	0	1	0	0
EC-11P	1104545760	3638	79	3717	250386	2234	1356	2	5	21	5	1	2	4	1	6	0	1
EC-10-D	1104545700	3599	107	3706	3706	2548	979	26	12	1	1	6	2	4	10	4	4	2
EC-10P	1104545640	1885	441	2326	2326	1405	327	5	4	109	7	3	2	4	3	10	4	2
EC-11C	1104545580	891	11	902	66596	372	510	2	1	1	1	1	2	1	0	0	0	0
EC-10J	1104545520	438	17	455	62089	301	124	4	2	3	1	0	0	0	1	1	1	0
EC-10E	1104545460	362	26	388	63752	267	54	14	5	1	5	4	3	4	2	1	2	0
EC-10D	1104545400	340	17	357	68783	256	64	11	1	0	1	3	0	0	3	0	1	0
EC-10I	1104545340	308	5	313	70251	198	100	2	1	2	0	1	0	0	4	0	0	0
EC-10B	1104545280	263	15	278	62781	191	53	3	3	0	2	1	3	2	0	2	3	0
EC-10A	1104545220	263	13	276	52986	98	139	3	3	3	2	1	0	0	4	10	0	0
EC-10C	1104545160	260	7	267	67133	148	97	2	3	0	2	2	2	0	3	0	1	0
EC-10F	1104545100	64	1	65	55499	52	11	0	0	1	0	0	0	0	0	0	0	0
EC-10H	1104545040	50	3	53	62022	33	10	2	0	0	2	0	0	1	1	1	0	0
EC-10G	1104544980	35	4	39	47188	25	9	0	0	0	1	0	0	0	0	0	0	0
EC-14-D	1104544920	30	0	30	30	19	11	0	0	0	0	0	0	0	0	0	0	0
EC-10K	1104544860	1	0	1	89454	1	0	0	0	0	0	0	0	0	0	0	0	0
